track_id,track_name,track_duration_min,track_popularity,album_id,album_name,album_release_year,primary_artist,secondary_artists,primary_artist_id,secondary_artists_id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers,primary_genre,other_genre,secondary_artists_0,secondary_artists_1,secondary_artists_2,secondary_artists_3,secondary_artists_4,secondary_artists_id_0,secondary_artists_id_1,secondary_artists_id_2,secondary_artists_id_3,secondary_artists_id_4,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5,other_genre_6
6WUEeOiwMxMtrQCTrsEkBK,0.03,3.07,45,0XqfIlA2mATuhcX7qCYS5z,PEDESTAL,2021-02-25,ØZI,,7Icsejk4pdIhkq2KO5A0jD,,0.786,0.669,1,-5.944,1,0.0737,0.0566,0.0,0.245,0.679,117.945,52,109501,mandopop,taiwan hip hop,,,,,,,,,,,taiwan hip hop,,,,,,
70iXIh1Awkb6KCJzrIoB7V,Honest,2.87,34,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.542,0.413,7,-9.776,0,0.0554,0.0394,0.0,0.0939,0.344,170.052,56,116999,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,,,,,,,,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,,
15yva244QPS20IDjyOlphM,I Like Dat,4.03,42,16fnzb5z5K8P69diroxlmZ,I Like Dat,2021-05-14,T-Pain,Kehlani,3aQeKQSyrW4qWr35idm0cy,0cGUm45nv7Z6M6qdXYQGTX,0.557,0.499,1,-6.924,1,0.227,0.00618,0.0,0.14,0.325,175.662,80,3415446,dance pop,"hip hop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary",Kehlani,,,,,0cGUm45nv7Z6M6qdXYQGTX,,,,,hip hop, pop, pop rap, r&b, rap, southern hip hop, urban contemporary
6VFKuuqSbA1GpMEosUgTwQ,Nobody But You,3.55,69,0HaY1bBhaYUEXBOSva6Pf7,Nobody But You,2021-04-09,Sonder,Jorja Smith,2ICR2m4hOBPhaYiZB3rnLW,1CoZyIx7UvdxT5c8UkMzHd,0.637,0.299,7,-11.314,1,0.0366,0.742,0.0,0.359,0.364,83.872,63,288390,alternative r&b,r&b,Jorja Smith,,,,,1CoZyIx7UvdxT5c8UkMzHd,,,,,r&b,,,,,,
0a2Yk4ORO4MsGaJ4DI03qx,Whipski (feat. Lil Skies & Internet Money),3.07,70,69zRKx6ZZQx652iPq1PRyp,Whipski (feat. Lil Skies & Internet Money),2021-04-08,$NOT,"Lil Skies, Internet Money",5IbEL2xjRtKsunfmsahLuO,"7d3WFRME3vBY2cgoP38RDo, 6MPCFvOQv5cIGfw3jODMF0",0.841,0.545,9,-8.013,1,0.222,0.268,0.0,0.25,0.305,94.528,77,805258,aesthetic rap,"florida rap, underground hip hop",Lil Skies, Internet Money,,,,7d3WFRME3vBY2cgoP38RDo, 6MPCFvOQv5cIGfw3jODMF0,,,,florida rap, underground hip hop,,,,,
2NfjNJKcjKb1jEeEcafzak,Exile,2.75,39,45IlRslbY2q1bvRMHSVDD9,Paradise Lost,2021-08-13,Juelz,,04p1jV00pBnrmh2rKl0jnT,,0.542,0.693,7,-4.338,0,0.0424,0.0053,0.336,0.345,0.065,92.153,50,14971,bass trap,"canadian electronic, electronic trap, traprun, vapor twitch",,,,,,,,,,,canadian electronic, electronic trap, traprun, vapor twitch,,,
3tAuh9JS89x1pcb2ludxTg,Consequences,2.65,36,4YGjRz0G5dL8VSYFpfFsyz,Consequences,2020-09-16,Zeina,,2saNOYtb2v8aXMmezcwAiI,,0.512,0.404,2,-9.13,1,0.11,0.507,0.000676,0.104,0.334,99.369,35,9670,canadian contemporary r&b,indie r&b,,,,,,,,,,,indie r&b,,,,,,
4NczzeHBQPPDO0B9AAmB8d,Assumptions,3.68,47,53M9zXvxd0itS7VImk5i7R,IV,2021-05-13,Sam Gellaitry,,07UJz804RJxqNvxFXC3h9H,,0.639,0.815,11,-4.718,1,0.221,0.123,0.00113,0.193,0.443,126.055,47,81270,electronic trap,"future bass, scottish electronic, vapor soul, vapor twitch",,,,,,,,,,,future bass, scottish electronic, vapor soul, vapor twitch,,,
41VnnfS1ftbgOw4F0TA390,Be Nice,2.61,1,4oJu5c2Y2GcRPgL48FjRHx,Motions,2021-04-01,Kendra Dias,"Mr. Stee, Jub",4ntiWr0UeyP1duNqALGosf,"4E43zbXmOWpVdjvVnwyWKW, 3JODUl1q2NuiDx3xmV4gSY",0.64,0.566,1,-7.388,0,0.118,0.515,2.87e-05,0.105,0.51,94.8,24,800,canadian contemporary r&b,indie r&b,Mr. Stee, Jub,,,,4E43zbXmOWpVdjvVnwyWKW, 3JODUl1q2NuiDx3xmV4gSY,,,,indie r&b,,,,,,
0uMEuLOhNkZQy56CMSXIDU,Games,3.87,39,53M9zXvxd0itS7VImk5i7R,IV,2021-05-13,Sam Gellaitry,,07UJz804RJxqNvxFXC3h9H,,0.414,0.823,6,-4.152,0,0.0527,0.305,0.0,0.173,0.151,140.855,47,81270,electronic trap,"future bass, scottish electronic, vapor soul, vapor twitch",,,,,,,,,,,future bass, scottish electronic, vapor soul, vapor twitch,,,
