track_played_at,track_id,track_name,track_duration_min,track_popularity,album_id,album_name,album_release_year,primary_artist,secondary_artists,primary_artist_id,secondary_artists_id,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,track_tempo,popularity,followers,primary_genre,other_genre,secondary_artists_0,secondary_artists_id_0,other_genre_0,other_genre_1,other_genre_2,other_genre_3,other_genre_4,other_genre_5,other_genre_6,other_genre_7,other_genre_8
2021-10-07 02:40:46.164,0UFi1wd18ZhYyqpXEbET4r,Control,3.52,34,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.551,0.546,9,-5.978,0,0.0366,0.279,1.09e-05,0.0806,0.239,141.961,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-07 02:37:12.664,2DqcYEeS95EtkdpHBCpw65,Empty,3.7,39,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.465,0.577,5,-7.681,0,0.0281,0.123,5.34e-06,0.104,0.15,159.918,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 20:18:10.098,6ry7ITdSvbSa8tT9dZ4h8b,ONE MORE,2.71,15,1y5Jjodlso3W48xSORn1tz,Soulection White Label - ROM,2016-03-18,ROMderful,DEFFIE,3Aum3IcJEKuGsWVPBZnvyU,2oMgXOfrZIIuS6Wia9k7mj,0.647,0.707,4,-4.059,0,0.0957,0.077,0.613,0.119,0.123,118.223,48,19141,alternative r&b,indie r&b,DEFFIE,2oMgXOfrZIIuS6Wia9k7mj,indie r&b,,,,,,,,
2021-10-06 19:17:19.761,6qMExjyIOHf4M5rf8Ft2AA,Drumss,2.8,28,5vUuQXf7VGM78XJziKwd3V,Soulection White Label - J.Robb,2017-11-03,J.Robb,,2DfpfU9DpRLC3EuWLKyy4m,,0.737,0.116,1,-12.029,1,0.26,0.324,0.897,0.141,0.533,81.205,39,13358,,,,,,,,,,,,,
2021-10-06 19:14:31.121,1z7lXZju6ohvylLXQVSBwC,Dogtalk,2.8,26,7vqZxufW3mPpzokW10LiZK,Infinity 33,2018-11-16,D33J,A$AP NAST,6DIUUnQRMBTkigLlsAxblR,1uLYUm2A6kpFYAECfAFoH1,0.749,0.503,8,-7.438,1,0.0549,0.181,0.0,0.111,0.277,74.996,48,15763,abstract beats,,A$AP NAST,1uLYUm2A6kpFYAECfAFoH1,,,,,,,,,
2021-10-06 19:04:14.424,2DqcYEeS95EtkdpHBCpw65,Empty,3.7,39,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.465,0.577,5,-7.681,0,0.0281,0.123,5.34e-06,0.104,0.15,159.918,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:56:50.199,0UFi1wd18ZhYyqpXEbET4r,Control,3.52,34,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.551,0.546,9,-5.978,0,0.0366,0.279,1.09e-05,0.0806,0.239,141.961,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:50:56.639,6b1yDbxtaKsILcIntblGeo,Nobody Knows,4.24,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.518,0.461,0,-5.626,0,0.0285,0.00262,0.0,0.226,0.218,147.002,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:39:28.265,6laI8aSSA8aGKvJUUuOgRG,Get Even,3.34,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.526,0.646,5,-6.325,0,0.0411,0.0041,0.0,0.159,0.148,155.022,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:32:45.689,5XwcELf4gUoEiP0PIyVZfp,Still Alive,3.31,33,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.446,0.608,7,-6.554,0,0.0351,0.17,0.0,0.112,0.235,146.87,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:29:27.006,4LtazicAnlWafp8Yjt03BK,Zombie,2.29,34,3BHAhIIZ2fo3y9bJhOXEzt,Nocturnes,2021-10-01,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.0872,0.472,3,-11.605,1,0.0395,0.339,0.0232,0.0982,0.0926,63.769,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:26:40.358,3tEquyJGXSst4J7yEu493s,Free Myself,2.57,34,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.578,0.425,5,-8.825,0,0.0487,0.064,0.0,0.17,0.176,156.008,57,117733,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,,,,
2021-10-06 18:23:53.248,3tEquyJGXSst4J7yEu493s,Free Myself,2.57,34,27ZXELqkWpnE9VcqzNdaYE,Honest,2021-07-29,anders,,6G1yTgvoYsuVb2Ja8cVVJ2,,0.578,0.425,5,-8.825,0,0.0487,0.064,0.0,0.17,0.176,156.008,57,117733,canadian contemporary r&b,"canadian hip hop, pop r&b, r&b, toronto rap, trap soul",,,canadian hip hop, pop r&b, r&b, toronto rap, trap soul,,,,
2021-10-06 18:18:15.968,72AK6S3YqO2UNdrhtoN8vu,West Like (feat. Kalan.FrFr),3.02,54,5lkzzFYLVQ4PAjCM32Ef7m,West Like (feat. Kalan.FrFr),2021-05-28,Destiny Rogers,Kalan.FrFr,6gezkje7GoJlQbHBgLXHuu,47TMF0JlFsz01KilGzc5Ly,0.726,0.632,1,-6.739,1,0.0424,0.0325,0.0,0.633,0.66,99.948,60,107392,pop,,Kalan.FrFr,47TMF0JlFsz01KilGzc5Ly,,,,,,,,,
2021-10-06 18:12:34.697,5EfRLrWygW150LFvPmWb4s,Virgin Mary,3.4,38,2bYBmrPtkDzSDDRok9jCYN,Lost Boy,2018-04-03,Jake Hope,,44PkBtAQLIQ45IDNop6d78,,0.805,0.32,6,-11.775,1,0.104,0.642,0.0,0.107,0.421,127.107,39,17734,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 18:06:03.179,3vSQzBw0eKr2xmFml65Y7F,Sometimes,3.2,51,7CqQYYERGNSq5xSgTuALLd,FEELS,2017-10-20,Snoh Aalegra,Logic,1A9o3Ljt67pFZ89YtPPL5X,4xRYI6VqpkE3UwrDrAZL8L,0.694,0.284,7,-12.062,0,0.0641,0.691,0.00846,0.0653,0.223,79.981,70,660285,alternative r&b,"chill r&b, indie r&b, indie soul, pop, r&b, scandinavian r&b, swedish soul",Logic,4xRYI6VqpkE3UwrDrAZL8L,chill r&b, indie r&b, indie soul, pop, r&b, scandinavian r&b, swedish soul,,
2021-10-06 18:02:50.947,5q0zxo739jt8HAyo88vNkt,The Devil's in the Details,2.96,52,0qQKOuHPlCPKaNgeOh3ytH,Drive Slow,2017-08-11,Mac Ayres,,0fTav4sBLmYOAzKuJw0grL,,0.708,0.507,6,-8.876,0,0.0549,0.117,0.000547,0.101,0.543,76.757,63,426447,alternative r&b,"chill r&b, indie r&b, indie soul, pop, r&b",,,chill r&b, indie r&b, indie soul, pop, r&b,,,,
2021-10-06 17:59:52.144,1uzVgNkXqQC7hsJhFZ749o,Sonder Son (Interlude),1.67,49,5Bp1EX2ypdFnJ5IUyiRl8w,Sonder Son,2017-10-13,Brent Faiyaz,,3tlXnStJ1fFhdScmQeLpuG,,0.461,0.303,2,-11.137,1,0.0543,0.746,8.98e-06,0.223,0.099,152.862,79,1819072,dmv rap,"pop, r&b, rap",,,pop, r&b, rap,,,,,,
2021-10-06 15:53:04.097,21bl9jnt8gKltnNYpOPbhw,Go Go Go,4.09,40,2vnPwMLtMXZWGkKsoylsGt,Exis,2015-07-31,Roy Woods,,7mDU6nMUJnOSY2Hkjz5oqM,,0.637,0.365,0,-11.274,1,0.0743,0.209,1.06e-05,0.0944,0.0459,77.958,66,800929,canadian contemporary r&b,"canadian hip hop, pop rap, r&b, trap, trap soul",,,canadian hip hop, pop rap, r&b, trap, trap soul,,,,
2021-10-06 15:51:24.113,6q8fYYujrQxXckq1tTtqqi,Time's A Wastin,6.68,49,3cADvHRdKniF9ELCn1zbGH,Mama's Gun,2000-10-31,Erykah Badu,,7IfculRW2WXyzNQ8djX8WX,,0.673,0.326,11,-10.684,0,0.0878,0.201,0.00144,0.201,0.458,75.387,68,2219915,afrofuturism,"hip hop, indie r&b, neo soul, r&b, urban contemporary",,,hip hop, indie r&b, neo soul, r&b, urban contemporary,,,,
2021-10-06 15:44:42.985,2ApXqnIWRbN3EzmFpQNcTr,Run This,3.88,36,14VpUviKpM4PyuJAoboPxq,SHADOW,2017-06-11,PLAZA,,50Fwc6LYQ2aYsWVN10hhTY,,0.625,0.677,3,-6.94,0,0.049,0.186,2.59e-05,0.145,0.318,113.941,55,58506,canadian contemporary r&b,trap soul,,,trap soul,,,,,,,,
2021-10-06 14:04:07.818,59NdUkl9DPh7JUST60pGQQ,Nothing Easy to Please,4.39,39,2FXGUAESmG5l9YPrzWPvHI,PARTYNEXTDOOR 3 (P3),2016-08-12,PARTYNEXTDOOR,,2HPaUgqeutzr3jx5a9WyDV,,0.8,0.505,1,-4.395,0,0.064,0.389,6.83e-06,0.086,0.314,85.728,78,3256316,pop,"pop rap, r&b, rap, toronto rap, trap, urban contemporary",,,pop rap, r&b, rap, toronto rap, trap, urban contemporary,,,
2021-10-06 14:01:49.632,6IS5jICzNKWWBjKwr7OCHo,Nothing Like Your Touch,3.74,19,2FPFHVzlXqwJkLbBSXRraY,Bold & Beautiful,2006-09-11,Vikter Duplaix,,0Ot21Sy0MDkbgacGh22omF,,0.655,0.381,8,-9.236,0,0.0573,0.592,0.102,0.112,0.565,79.034,29,8345,broken beat,,,,,,,,,,,,
2021-10-06 13:57:34.948,1JCV7SiJnORJRrPmrbSrPX,Maliblue,2.38,51,5DevOhO1bQEtsJBrfyX9HG,Maliblue,2019-08-27,FRVRFRIDAY,,2jwmP4TgzTGqjCfcXMDayW,,0.648,0.313,7,-11.41,0,0.475,0.884,0.000968,0.0947,0.604,92.594,53,46811,canadian contemporary r&b,"canadian hip hop, indie hip hop, sad rap, trap soul",,,canadian hip hop, indie hip hop, sad rap, trap soul,,,,,
