track_id,artists,trackname,album
3NsPvsr9VrcMtAxJ50XCL9,GoldLink,Summatime (feat. Wale & Radiant Children),At What Cost
564oa00vY05d1uYnTEAAmE,GoldLink,Herside Story,At What Cost
7jaYiqwCFQDdtxfQaSzZuM,GoldLink,Meditation (feat. Jazmine Sullivan & KAYTRANADA),At What Cost
6AOcDjTt4jfe9ostQ6eAs7,GoldLink,Same Clothes As Yesterday (feat. Ciscero),At What Cost
4sH2Oc6BkJgDXvYLinK0sw,GoldLink,New Black,"And After That, We Didn't Talk"
60ZZNXIdwgUGkVGRt7foLT,GoldLink,Late Night (feat. Masego),"And After That, We Didn't Talk"
6Yh1OsdY5IMeUHPMplkQj2,GoldLink,Dance On Me,"And After That, We Didn't Talk"
2LvpVkv0z8oFMcc048FfJd,GoldLink,Spectrum,"And After That, We Didn't Talk"
7MIGNUCE2lKsWXHjUT4EHO,GoldLink,Zipporah,"And After That, We Didn't Talk"
5q3KB1x3ijlmigg9nNJ3uE,GoldLink,Dark Skin Women,"And After That, We Didn't Talk"
3O4kWlPCEwWCGSrHsv3CS9,Sean Leon,Parkdale Cartel Freestyle II,C.C.W.M.T.T.
2WUqVbUrIHeVjRo6G5Bq0k,Sean Leon,Turf,C.C.W.M.T.T.
1daHl67gWjY0ZUZR7zMTG9,Sean Leon,Vintage,C.C.W.M.T.T.
2BAub2rJqCDQfMl2PtZoLW,Sean Leon,Laying Low (Cooking Up),C.C.W.M.T.T.
1ZLfRwNX7U1EqkBnPkLoB3,Sean Leon,2017,C.C.W.M.T.T.
4AeO2JhOo8r88k0Z6t51tT,Lonny X,4real - prod. Gravez,Full Court Press
1ZpbU1XV0UkWCuKy3LVNnE,Lonny X,Moment - prod. Fortune,Full Court Press
0YImOCkIJ2PWhCXaURCZnY,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),It Ain't Safe No More. . .
2iclfHORMqpR3TxuhwVRhD,Ja Rule,Mesmerize,The Last Temptation
7i5RXnzpMvNaWSKpb8AtMC,Lou Phelps,Come Inside (feat. Jazz Cartier),Come Inside
4IO2X2YoXoUMv0M2rwomLC,Playboi Carti,Long Time - Intro,Die Lit
3L0IKstjUgDFVQAbQIRZRv,Playboi Carti,R.I.P.,Die Lit
1JgkiUg9mSXSwcb5Gbi4Ur,Playboi Carti,Lean 4 Real (feat. Skepta),Die Lit
0syXbGoFZbTMXm8hGCEvW0,Playboi Carti,Old Money,Die Lit
3K6U7TamNyVSWcFH8pCQHX,Playboi Carti,Love Hurts (feat. Travis Scott),Die Lit
2BJSMvOGABRxokHKB0OI8i,Playboi Carti,Shoota (feat. Lil Uzi Vert),Die Lit
475jSz0H6U3duJyNiDS0tT,Playboi Carti,Right Now (feat. Pi'erre Bourne),Die Lit
2rPSFKzGeqUWwfcCFVkkq3,Playboi Carti,Poke It Out (with Nicki Minaj),Die Lit
424qpX6swdUdhLq95cecNu,Playboi Carti,Pull Up,Die Lit
5nayhWICkQGMTkisxVMbRw,Playboi Carti,FlatBed Freestyle,Die Lit
45Ln3F9PRPYTXBcMFkZMzS,Playboi Carti,R.I.P. Fredo (feat. Young Nudy) - Notice Me,Die Lit
1e1JKLEDKP7hEQzJfNAgPl,Playboi Carti,Magnolia,Playboi Carti
59J5nzL1KniFHnU120dQzt,Playboi Carti,wokeuplikethis*,Playboi Carti
5UusfWUMMLEXLMc1ViNZoe,Playboi Carti,@ MEH,@ MEH
0ntHEP3DJyS2qgJgqbWNxh,EARTHGANG,House (feat. Mick Jenkins),Rags
0udCQ78g2s33TELmtndMqd,Mick Jenkins,Communicate (feat. Ravyn Lenae),The Healing Component
3SEZgDncfa1sqjThdI9JcJ,Mick Jenkins,Angles (feat. Noname & Xavier Omär),The Healing Component
7AewiR0SOgfi8AXBnQz6Ih,Lou Phelps,Average (feat. Kallitechnis),Average (feat. Kallitechnis)
2TU0upOm2NCOS7yBY6rOfK,Lou Phelps,What Time Is It? (feat. Innanet James),What Time Is It? (feat. Innanet James)
4pNTrolPWfG6drXMbJXqZK,Ciscero,Function,Function
4YdRnTnXYwgI48kkzWy6uk,Saba,BUSY / SIRENS,CARE FOR ME
5AdhyCxxguV1wXde1vqgWC,Saba,BROKEN GIRLS,CARE FOR ME
7LBdv0ek7Tj2s0bgxmlrC6,Saba,CALLIGRAPHY,CARE FOR ME
0Q8A7MPsoFg72xcVFBsS8Q,Saba,LOGOUT,CARE FOR ME
42tBlHWL3VfDkUM2iWcc5p,BROCKHAMPTON,GUMMY,SATURATION II
1ZuQVisBNDRm51QIN9MajR,BROCKHAMPTON,JELLO,SATURATION II
6MTA4AwgmjVASTXpBEwvn8,BROCKHAMPTON,SWAMP,SATURATION II
66dQdXAbtuPdSasezCQVZE,BROCKHAMPTON,SUMMER,SATURATION II
7HRv1sYuwgoea1m0JRvChV,BROCKHAMPTON,GOLD,SATURATION
1xfFPJdRjgDAaMcDgbXwyh,BROCKHAMPTON,STAR,SATURATION
1H3GqbebLfBjqY8rW9oVyq,BROCKHAMPTON,BOYS,SATURATION
3BVC9lRwjgKrWwDxgFAKA8,SOB X RBE,Anti,SOB X RBE
5vW1RK8TkUCyICZs0qfqrT,SOB X RBE,Block Boys,SOB X RBE
3Znk9X3XcfIWRYyfc8d0YZ,SOB X RBE,Keep It on the Real,SOB X RBE
0YTqRQdMSdRGE75oQ8TMra,Jay Prince,Last Summer,Late Summers
6VpN3fL6LBIeAbRpGlJCII,Jay Prince,With U,CHERISH
0xxIqxi5L1KCiFtKAl1GHZ,Jay Prince,Downtime,CHERISH
4dRY6HTHcEUzzHsI6vSXlw,Ryan Trey,"Evolving, Pt.1",august
20EsRhRmoqwgb8lWp1Ts0l,Ryan Trey,Bradley Beal Freestyle,august
531MBHrtGF6nAkK4zUafi9,Ryan Trey,Mutual Butterflies,august
5nD5d1zQz091zgnIHbvgUD,Ryan Trey,Temptations,august
6MkQb4AuZ28zJPPMyfCplO,Ryan Trey,Break on Monday,august
4yG3P9BGIo9Mslr2rwstMy,Ryan Trey,Letter to You,august
3VRH0UqoAYXLj1WTqpuwHi,Ryan Trey,Bound,august
3W0Z0eVGsMZaieSGgL3MJy,Innanet James,Where We Go,Keep It Clean
0PzTzlXfiOq0sK8PCYiwsb,Innanet James,Better Without You,Keep It Clean
4dClidrIZyKVYkeh7HwrZO,Lou Phelps,Squeeze (feat. JAHKOY),Squeeze
1paRikgtoQ7E3eez3DHLEW,Lou Phelps,Miss Phatty,002 / LOVE ME
17BhgbWsdCP7N4OIfhRQsS,Sean Leon,Iceberg Slim,Sean Leon (The Death Of)
7vwA52NdZgu4ssjxmnlhox,Sean Leon,Bank Account,Sean Leon (The Death Of)
5pWeNXjd7yBLV2CKdKF8zt,Sean Leon,Food.Chain,Sean Leon (The Death Of)
08ACbMUO8l7d2RjwyWYcZx,Sean Leon,If I Could Be With You,Sean Leon (The Death Of)
23MF54AtVwpMkuQb4R70Rq,Smino,KOVERT,NOIR
2KmYPKHvwG77NAcDpFlLBm,Smino,L.M.F.,NOIR
6tdAmfHEd4cXEkNbCMgOP9,Smino,KLINK,NOIR
0rC1Zom3PFrEYwdl4QN785,Smino,TEQUILA MOCKINGBIRD,NOIR
3WiCqMk8qUREjPsjubiPIK,Smino,SPINZ,NOIR
3X6YJcqTinaNraRvojF62K,Smino,Z4L (with Bari & Jay2),NOIR
1fJL0EgvPrLIltnF0d3CbR,Smino,WE GOT THE BISCUITS,NOIR
5ORcI4U6qYkU5JGHjkaDzX,Smino,FENTY SEX (with Dreezy),NOIR
39M9NokmUeFunaUNoCIsp4,Smino,BAM 2x,NOIR
7KlM4piqWaxB69tvnhlrns,Smino,VERIZON,NOIR
6Vzs6iGlyb4JTnVX5NAoFk,88GLAM,Purple Baguettes,88GLAM2
0gug4OpbNYLVXrFvtDWnxv,88GLAM,Blue Faces,88GLAM2
3Zcv9IeYgCvEhxFTfsduaQ,88GLAM,Lil Boat,88GLAM2
4gisR7ioGxHZJ9jEJnNybI,88GLAM,Big Ship,88GLAM2
1gR8SPZg0pDh2F0Ridi3e1,88GLAM,It's A Flex (feat. NAV),88GLAM2
16hJhVQWkrbnwYxrtTxK9K,88GLAM,Talk Nice,88GLAM2
4n2zeP8KUWNgJr1bZnbslz,88GLAM,Drop Top,88GLAM2
4qJKFz5AH7O1HBfVIDSMD8,88GLAM,Kawasaki,88GLAM2
3uy6aRVhLuKy85EJoffsUM,88GLAM,Racks (feat. Gunna),88GLAM2
1GCUwcKc1JumCbg4jv7KtA,88GLAM,Kitchen Witch,88GLAM2
2Rkhxx8afqkb93AwIAMbJN,88GLAM,Snow Globe,88GLAM2
0RgeiH9PjWmyZtJCxevLoo,88GLAM,GPS,88GLAM2
0mlkKsmwaWPeMIBlaYJXYA,88GLAM,ENDZ,88GLAM2
5CjV03o6e1Ja0zLdttXVji,Mick Jenkins,Gwendolynn's Apprehension,Pieces of a Man
1n8wr8tRHs5jmBxNWXedcn,Shoreline Mafia,"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",Shoreline Mafia Presents Rob Vicious: Traplantic
64FxpKdU055iIaMDY441Qc,Shoreline Mafia,Whuss the Deal,ShorelineDoThatShit
18pwD0HrweX8oCgIkayRb4,Shoreline Mafia,Nun Major,ShorelineDoThatShit
2bkKnaLTMCghmjlcPBoYWd,Shoreline Mafia,Musty,ShorelineDoThatShit
4k0ZX0KlMBEOlTp5vexIrT,Shoreline Mafia,Bottle Service,ShorelineDoThatShit
5lcRPz56p4uCvT24DOQUG6,Jay Prince,RUN IT DOWN,WONDER
730I1akJZg0ryqwH9v8a9f,Jay Prince,WONDER,WONDER
2jchUbTSsBVUqANuW11S3G,Jay Prince,LUV ME,WONDER
6Ic2MP2hzoBLe3r1VIle8J,GoldLink,Joke Ting (feat. Ari PenSmith),Diaspora
5uNhWDGP1gXxS2IZl2alGx,GoldLink,Maniac,Diaspora
2qU9ro2FCa4WjFqTg1JFJP,GoldLink,Days Like This (feat. Khalid),Diaspora
1jCzgZFEl8RCUxDRvAGWUF,GoldLink,Cokewhite (feat. Pusha T),Diaspora
2p37Mfy2PWajgOS3i2aaep,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",Diaspora
7cbIvmi6lNmBwIQFFPmEZh,Cousin Stizz,Shoutout,Suffolk County
0qJ0eDL9Szdylx4kRRCBQD,Cousin Stizz,Perfect (feat. City Girls),Trying To Find My Next Thrill
2LWDBGSvTl9TjCVQKC2YgO,Cousin Stizz,Anonymous (feat. Smino),Trying To Find My Next Thrill
1qPekL20Bph8Ma9YgTR25H,Cousin Stizz,STP,Trying To Find My Next Thrill
2g7F8K7tsPUVE9nzwq6TDu,Cousin Stizz,Soso (feat. $ean Wire),Trying To Find My Next Thrill
694vvR5o19xHPhhJ5QdLN7,BROCKHAMPTON,NO HALO,GINGER
6U0FIYXCQ3TGrk4tFpLrEA,BROCKHAMPTON,SUGAR,GINGER
4D7NrSeqkTarBrJ80b2sBc,Lil Uzi Vert,Leaders (feat. NAV),Eternal Atake (Deluxe) - LUV vs. The World 2
5yzTMBpElOOx4lOsxtObLw,Buddy,She Think,Janktape Vol. 1
72RAYu1b2ijtdxaalEMEun,Kent Jamz,In Search Of,Janktape Vol. 1
1ebeztlxfpA2fLSYW85CzX,Buddy,Pass By Me,Janktape Vol. 1
6dug9tdWxSlkieRCK8CVt0,Buddy,Burberry Party,Janktape Vol. 1
07cTSeXQ39cyu732J0gbG8,Buddy,Terrified,Janktape Vol. 1
71j0iijUh2yq3j8ppxsmgH,Buddy,To The Grave,Janktape Vol. 1
2CvDekQq4ZNcL47vp95r5i,Buddy,Heatwave,Janktape Vol. 1
3p6aRY0ePa28UM85z9X8iS,NAV,Good Intentions (Intro),Good Intentions
2AEtYwT9qg2eY6G9m8wOxW,NAV,My Business (feat. Future),Good Intentions
6KhmSJf9FvdAcq1tr8LcYD,NAV,Status (feat. Lil Uzi Vert),Good Intentions
6NzuJWrNriXAbSmscAuSIq,NAV,Codeine (feat. Gunna),Good Intentions
2oPQVgCTYqA4FBknwAroWf,NAV,Saint Laurenttt,Good Intentions
6LUE5WlMgrpLouGxzJAUVv,NAV,Run It Up (feat. Pop Smoke),Good Intentions
4ulSNRO7AfjfwHXT7wQdf0,NAV,My Space,Good Intentions
5yl7WSp3mot0nepMQvfVi3,IDK,42 Hundred Choices,Is He Real?
3pX767GK22EHwYEYLNEuoo,IDK,24,Is He Real?
5oady7OSE7dH7LHiqmb3Cr,A$AP Ferg,"Dreams, Fairytales, Fantasies (feat. Brent Faiyaz & Salaam Remi)",Floor Seats
415e1Khf9oFtHPMrAhDwwq,Little Brother,Everything,May the Lord Watch
25fBcJJFq8jtl6NZo1UgM7,Little Brother,Right on Time,May the Lord Watch
19Dqy71XekURex0XMKvfR8,Little Brother,Black Magic (Make It Better),May the Lord Watch
4s6S0anjP3SNeQ8VyS7dIz,Little Brother,Sittin Alone,May the Lord Watch
0kCBorRrKZkSztd9m0QI3r,Young Thug,Chanel (Go Get It) [feat. Gunna & Lil Baby],Slime Language
4n4BflhWjCHIxrI4v7Xt9s,Drake,How Bout Now,Care Package
4JnnZWtx4XB14vUX2MIh9I,Freddie Gibbs,Fake Names,Bandana
3iKALqmeWDBWRlQU8z03kA,NAV,To My Grave,Bad Habits
1xkMNjOFNCw3OCI7Gtjpjb,NAV,Tap (feat. Meek Mill),Bad Habits
4RbbzNY4MEcgzewYWkIsGu,NAV,Price On My Head (feat. The Weeknd),Bad Habits
5LuQkwfggW5ibdkSMA4sDT,NAV,Tension,Bad Habits
3Pqw8MreEUo4Z8ktO5ilkD,NAV,Know Me,Bad Habits
6O7fPYTsb2mY0PiFt2ymDB,Pop Smoke,Aim For The Moon (feat. Quavo),Shoot For The Stars Aim For The Moon
0PvFJmanyNQMseIFrU708S,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon
1hg3RlqFZXJb5YgRoK9qmF,Pop Smoke,Gangstas,Shoot For The Stars Aim For The Moon
0bjgQ24UZGwKikldIyEOgf,Pop Smoke,Yea Yea,Shoot For The Stars Aim For The Moon
3eV2WT9YhfzkxbufnBF8wK,Pop Smoke,Creature (feat. Swae Lee),Shoot For The Stars Aim For The Moon
2FhEj9lvEIaJihjFprRrGt,Pop Smoke,Snitching (feat. Quavo & Future),Shoot For The Stars Aim For The Moon
1H7KnK26kc1YyellpbINEn,Pop Smoke,The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon
1JDhNQ0oOT7XpclZn3aQ8F,Pop Smoke,West Coast Shit (feat. Tyga & Quavo),Shoot For The Stars Aim For The Moon
3NWrHCwvyII4fTx05PN3IO,Pop Smoke,Enjoy Yourself (feat. Karol G),Shoot For The Stars Aim For The Moon
5rZlwNFl01HqLWBQGryKSm,Pop Smoke,Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon
5kkaSMcf4BFlhRRICCKZb6,Pop Smoke,Something Special,Shoot For The Stars Aim For The Moon
1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,Shoot For The Stars Aim For The Moon
4Tc9PHEoeP17PQj3OOKXPu,Pop Smoke,Diana (feat. King Combs),Shoot For The Stars Aim For The Moon
25zlnOAzbVoOzIeXSvQFf1,Pop Smoke,Got It On Me,Shoot For The Stars Aim For The Moon
5qHirGR7M9tdm6C17DlzSY,Aminé,REEL IT IN,ONEPOINTFIVE
5KpUzmHFirESqWjCrXnmWS,Aminé,CHINGY,ONEPOINTFIVE
1ccc68jhhpiz4BYQBCN5zG,Buddy,Real Life S**t,Harlan & Alondra
7DfwPDwnkllMCFTf5cvxv0,Buddy,Shameless (feat. Guapdad 4000),Harlan & Alondra
